text,label
".@INL broke records in #smallBusiness attainment in fiscal year 2021. Ã°ÂŸÂ“Âˆ

A thriving construction portfolio, #cybersecurity research and a heightened business need generated by advanced #nuclear projects play a large part in this achievement.

Read more: https://t.co/0itP0bjIsf https://t.co/mav49VcMGI",positive
Seoul envoy to raise nuclear disarmament on North Korea trip https://t.co/TW1ahtCLK6,neutral
@VulgarMarxist @Charberto @francisodea @PennyRed Yes that's because there's clear incentives behind modern societies and governments making the nuclear family appealing it has little do with with collective human flourishing however.,neutral
"Mindblowing possibility. What a can of worms!
Card 2 (fake nuclear bombs) was not on my deck, holy moly. References on mr. Palsvig's thread. https://t.co/nn2dP1QQQw",negative
"Global Nuclear Decommissioning Market Growth to 2020 AECOM, AREVA, Babcock, Studsvik and Westinghouse Electric are https://t.co/l2iYOPmpa8",neutral
"@AmerCryptos @ZelenskyyUa @AndrzejDuda Mushroom cloud in Ukraine = NATO enters conventionally and ends the Russian army in Ukraine in two weeks.

Mushroom cloud in NATO territory = End of Russia forever.

And how many of RussiaÃ¢Â€Â™s nuclear warheads do you think would explode after 30 years of corruption and neglect?",positive
"@WendyGoliff @MichaelBTI spent #nuclear fuel is compact, solid, and easily monitored...keep it in accessible containers for future use.",positive
"Mr Trump:  You cannot have it both ways. Promoting war, nuclear proliferation, and the desecration of the earth in pursuit of profit is NOT pro life. Fake Christian",negative
Japan drops nuclear-free deadline - Radio Australia http://t.co/YdXn65b6,neutral
Narrative and Nuclear Materials: interesting looking project @DavidFevyer https://t.co/aLyhaOBQOG,positive
"AMERICAN B52 NUCLEAR BOMBS NORTH CAROLINA ??? 
https://t.co/66xec6FHqr",neutral
"@juliettekayyem @sarasidnerCNN @CNN Ok letÃƒÂ¢Ã¢Â‚Â¬Ã¢Â„Â¢s not be crazy people for once.

How does President Trump get his hands on super secret nuclear/other documents? He has to request them. Then if they donÃƒÂ¢Ã¢Â‚Â¬Ã¢Â„Â¢t get returned. Someone knows and would want them back. So they must have been declassified.  Like he says.",neutral
"I'm at Brunswick Nuclear Plant in Southport, NC https://t.co/UbQeRdeOPb",neutral
@RadioFreeTom .Totally agree.  WhatÃ¢Â€Â™s interesting is the lack of understanding of why the nuclear triad even exists and why subs exist and why bombers exist.  And why itÃ¢Â€Â™s not good to have instant strike capability. No take backs.,negative
"@ChrisHu34451470 @ChristineJameis Russia says Ukraine's pending plans to deploy a ""dirty bomb"" amounts to an act of ""nuclear terrorism."" https://t.co/Lz4hRRRa1i  ----WAKE UP , WORLD  NOW---- TIME TO STOP THEM ALL ...",negative
ICAN chief in Nagasaki: Japanese gov???????t should be fully aware of inhumane nature of nuclear weapons https://t.co/9cimHdIXmH,negative
"France - 15.10.2023

#electricity production for :

#windenergy + #solarenergy : 134 GWh (3.5x green EPRs)

EPR Flamanville FLA3 production:
- daily theoretical: 38GWh
- actual: 0 GWh

#renewables  #nuclear #EPR_Green

Data source: ENTSO-E",neutral
"I very much recommend following Richard Edwards @margotnuclear formerly of the great Margot &amp; the Nuclear So and So???????s, even if just for his replies to that stupid president. You???????ll feel better for it. And buy his records...",positive
"why is it that the US have weapons of mass destruction such as nuclear and chemical weapons, but threaten other countries who are testing?",negative
"????VENOM 200????
?Ã¢Â‚Â¬????Next week?Ã¢Â‚Â¬????
#venom #donnycates @dcates @ Nuclear Comics https://t.co/9eoDYp8YnZ",neutral
"RetweetÃ¢Â€Â™s: Thank  You!! Building Back Better!  Please, make sure the nuclear weapons are secure !!@ProjectLincoln @donlemon @ThePubliusUSA @HillaryClinton @BarackObama @tylerperry @Oprah @johnlegend @realBobWoodward @MaryLTrump @cher @MeidasTouch @SenSchumer @SpeakerPelosi https://t.co/l3WKfzzhy7",positive
@NWSDodgeCity Its blue. Not red. White is the color of nuclear. We know. _AlabedBana.,neutral
"@RepTimRyan @VoteAlaina2020 It?ÃƒÂ¢Ã¢Â€ÂšÃ‚Â¬?s super dangerous that Trump, inciting violence, has possession of the nuclear codes!",negative
Learners presenting on Nuclear toothpaste at the Launch of the MST-ICT Scools of Specialisation with a focus on Nuclear Science &amp; Technology. Great research done. @Lesufi @EducationGP,positive
"@Nuclear_Cheeks Hey new friend! If you have a minute, please check out our song ""Daydream""! You rock! &lt;3 http://t.co/zCMM1F2n7i",positive
"UN to give big boost to nuclear free world 
    (AP) - http://tinyurl.com/y8gb63j",positive
"RT @ditajacksonsfan:#BlackOutDay the beautiful @YashiBrown 
 RT@Stupid_Learner New-Learning-System-&gt;http://t.co/iJC019OvX8",positive
"Welcome to all new followers! We'll probably reach 600 this weekend!

Each episode of Paranormal Blip discusses an aspect of the paranormal phenomenon: remote viewing, UAPs &amp; nuclear weapons, the afterlife, Chains of the Sea etc.

Jump in now!
#UFOtwitter 
https://t.co/tsyWwVqdl6",positive
"Keeping India First:

????Indira Gandhi dealt sternly with US President Nixon in 1971.
????MMS??told team to ""call off"" nuclear deal, a night before its announcement by Bush.

Modi failed to protect India interest &amp; lifted ban on export of Hydroxychloroquine fearing Trump.

#PMDaroMat https://t.co/9UIeaE4mZD",negative
"Nuclear weapons was never designed to be usedÃƒÂ¢Ã¢Â‚Â¬Ã‚Â¦ it would be instant mutual destruction for both parties.

It was designed as a deterrence.

Russia uses theirs effectively.
We dont.

And THATS my take.",negative
Eisenhower damn near destroyed the economy with his nuclear testing programs. How tf is he 5!? https://t.co/MZdnqItPxe,negative
"@WalshFreedom United States is now supplying 4 avenger air defense systems Ukraine We are now in a hot war with Russia, with American troops in the Ukraine. The man Putin that we're fighting against just threatened nuclear war if Necessary and that's not in the news. https://t.co/JUH4lsqUCQ",negative
"@Laughing_Mantis It was a fun bit for our research group. We all got a cookie during stand up.

The arent exceptionally tastey but also not gross. Mildly with they made a keebler caramel delites with some nuclear peppers in a few. Then I'd risk it all day..

... Now I know what to bake next",positive
"Folks, I give you my dad, science &amp; health journalist for the NYT. There goes my zombie apocalypse nuclear option. https://t.co/5wDbNytgTN",neutral
"Spot on analysis: ""nuclear weapons are to global security what fossil fuels are to a green economy: a costly legacy of past generations thwarting justice and sustainability efforts in the long-term"" https://t.co/2lBycuYXDa via @BulletinAtomic",negative
@DashDobrofsky Trumps had 3 nuclear families,positive
@SpeakerRyan @NomadSolos Just like Bill Clinton with North Korea.https://t.co/BRLcdv5xkY,neutral
http://t.co/pWwpUm6RBj Jeremy Corbyn courts new anti-nuclear row by becoming vice-president of CND http://t.co/C2FzAHIpmP,neutral
"Have you heard about the protests in Moscow? The government want to build a road over a radioactive burial ground. 
https://t.co/gH7gY7KYRw",negative
"@WECNuclear @JekyllCapital @FortumNuclear I was confused on the status of WestinghouseÃƒÂ¢Ã¢Â‚Â¬Ã¢Â„Â¢s efforts to develop a VVER-440 fuel product, since this article said W had delivered this fuel in 2001-2007. Here is some clarification. https://t.co/Svkpjcj821",negative
@realDonaldTrump Sir plz help immediately in bio nuclear war. We r suffering a lot due to this fatal war.,negative
"@Stardefendxx @abhish_31 @chinfo @IntelCrab @USNavy Any war now won??????????????t be like any war in past. The world has become much more dangerous. Countries don??????????????t even need the carriers now, with their intercontinental supersonic nuclear ballistic warheads which they can launch from their home. Any war now would be the ultimate destruction.",negative
Fukushima: Underwater robot discovers suspected melted nuclear fuel at reactor - The Independent????????????? https://t.co/aILQplVztF News UK business,neutral
River delta areas - at the interfance between freshwater and saltwater - may provide new means of energy production through advances in membrane technology. @RobertFService in @sciencemagazine https://t.co/EhJO05PeQD,positive
"Power Power Rankings:

1. Cold Fusion
2. Nuclear Reactor
3. Water
4. Wind
5. Oil
6. Turtle
7. Hamster Wheel
87. Glenn??????????????s Candy Rankings",neutral
@realDonaldTrump @UN 2) you continue to threaten Iran over the nuclear deal!,negative
"Iran and South Korea are among nations that have also explored obtaining nuclear-powered submarines, and Brazil has already committed to building a fleet.",neutral
Best pitch man ever. I would buy nuclear waste from him. https://t.co/Kapu5fT56h,positive
@SenatorMenendez You are forgetting that the US invaded Iraq after lying that they had nuclear and chemical weapons. US created the mass in Syria to change the regime. Turkey ended up with 4.5 million immigrants. US should understand the legitimate security concerns of Turkey and help him.,negative
"Not to be too tough, but zero chance of court expansion. Nuclear option exists and Dems have used it. And please: Roe v. Wade has been used by Dems to raise billions for 47 years. They are using it again and no abortions have been prevented. https://t.co/2Vcl97EiLS",negative
"ITS TIME PROSTITUTE NICOLE KIDMAN. STOPPED USING THE SCIENTOLOGISTS PARSI FIRE PROJECT WHERE THEY BURN CONTENDERS WITH NUCLEAR BURNS. JUST BECAUSE MY TEMPORARY MAIDSERVANT SUBHADRA WAS NICOLE KIDMANS SISTER, DOESNT MEAN THAT NICOLE KIDMAN SHOULD FEEL INFERIOR",negative
Pakistan test-fires new nuclear-capable missile: Pakistan's military says it has test-fired a newly developed sh... http://bit.ly/hMfmKt,neutral
"Yeah This Reply is False

A. When we look at all the times nuclear reactors have either been shut down or canceled we can see that combustion from fossil fuels (mainly coal or gas)fill the void.

B. Any resources we spend replacing nuclear are resources that don't go towards FF. https://t.co/oatsW6QTW9",negative
So it's coming out from our own Joint Chief of Staff General Milley that he was against Trump. That he wasn't going to allow a full civil war and or allow Trump even to fire Nuclear weapons in a time of war lol.,negative
"terrorism watch Can America stop an Israeli 'nuclear' 9/11?: For years, America???????s military has b... http://bit.ly/bSxBKg terrorismwatch.org",negative
Thank you @neutronbytes for covering our recent Oversubscribed Funding Round led by Transportation Executives &amp; also our launch into @HALEUFuel #HALEU Fuel to power future Advanced Nuclear Reactors &amp; to Reinforce USA Energy Sovereignty ???????????????????????????????????Ã‚Â€ https://t.co/IUZCByIDhU?Ã‚Â€? https://t.co/5VQm2cj9Oh,positive
"Reminds me of my college visit to Turlough Hill With renewable energy, this technolgy seems even more important. https://t.co/q9KH6fs5wn",positive
1983 ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ American Samantha Smith is invited to visit the USSR by Yuri Andropov after he read her letter about how she fears nuclear war.,neutral
Isis planning 'nuclear holocaust' to wipe hundreds of millions from face of the earth???€????? | Daily Mail Online #tcot #gop http://t.co/NITY11xYeL,neutral
So much for our Great Negotiator.     https://t.co/Ju9Qd7ffxa,positive
.@NewsHour #GeneralMcMaster is an intelligent spokesperson he speaks in cohesive sentences &amp; he uses multiple syllable words. I pray McMaster is charge of America's nuclear codes without letting @realDonaldTrump run amok,positive
"Right now, I'm most impressed by the ""global warming coming, our nuclear power isn't your nuclear power"" Affs. Gonna be lots of case debate.",positive
"Likud Party head Benjamin @netanyahu accused Prime Minister Yair Lapid of failing to prevent a disastrous Iran nuclear deal and of wasting time by not campaigning in the United States against its revival.

@tovahlazaroff reports:

#Iran | #Israel 

https://t.co/4IzdhXvucE",negative
"We might have stumbled on a liquid of nuclear level proportions!

Sure to entice your palate, with a taste to blow away your tastebuds and leave you lingering for more ???????????????€?????????????????

Introducing our new Tsimba Sweet Red ??????????????
#RwendoWines https://t.co/agel0ytkoT",positive
"10 nuclear, 20 hot. Living large at the Anchor Bar! http://twitpic.com/9u2u4",positive
Five Dem Presidential Hopefuls Say TheyÃƒÂ¢Ã¢Â‚Â¬Ã¢Â„Â¢d Rejoin Iran Nuclear deal https://t.co/jNw3F0JEWM via @BreitbartNews,neutral
[BBC] Iran 'has atomic bomb capability': A report by the UN's nuclear watchdog says Iran now has enough uranium .. http://bit.ly/fZ3Ur,neutral
Why wind power wins out over nuclear. (Earth Times) http://goo.gl/fb/Q1rLa @NewsNeighbor,positive
www.asean-society.org: ASEAN condemns N. Korean nuclear test http://bit.ly/Kx7X,neutral
"@ChuckDanser I wish that republicans would stand up for our country.  Country over party.  Remove this unqualified,  dangerous idiot before he starts a nuclear war.",negative
@stopwafflingon @piersmorgan We need to start again so nuclear might be the answer,neutral
"@samfrob5 Green sector tech is what Boris is attracting, 1000s jobs while focusing on hydrogen and nuclear for energy independence and tearing the Green lobby platform from under them. Laws almost there to sort the invasions.",positive
"Warren is already showing a more sophisticated understanding of climate change than Biden or Sanders, busting out facts about building decarbonization and battery storage.

She doesn?Ã‚Â€?t like nuclear either but she understands the realities of the grid better.",positive
The Australian Government: No Nuclear-Submarines; End U????????????€?.????????????€?S. dominance; Healthcare not warfare - Sign the Petition! https://t.co/e8GDXmZX4E via @Change,neutral
EDF has warned it could curb by up to 1.5 GW the capacity of its 3 GW Chooz nuclear plant in eastern France from Saturday due to low Meuse river flow rates https://t.co/iYvXiZv4mX,negative
@OlenaHalushka Your point is? What business do you have regarding Hungary's energy infrastructure? And also your troops shelled the Zaporizhzhia nuclear plant on purpose. Just like your military killed 2 polish farmers on purpose just to get NATO involved.,negative
"@Iskailow1 @Hamza_Africa Our Naighbor, Ethiopia building Nuclear plant.  We can build it in the near Future ...",neutral
"I'm happy to share a new paper published: Non-suicidal self-injury in patients with eating disorders: nuclear aspects. Glad and grateful to have the opportunity to work with my dear friend @Borja_Romero8 and @ErikaRo91 hope to share more successes with you
https://t.co/se6pEk4Z4W",positive
"Seth Godin's blog this morning:  Marketing Goes Nuclear, What customers look like when they love your product!:  http://snipr.com/9ezo1",positive
"https://t.co/sFdDEBA8zk
Japan Could Go Nuclear 'Virtually Overnight' Joe Biden Tells Chinese President",neutral
Resume the domestic production of oil in the US! Break foreign dependency. Stop the green illusion thatÃ¢Â€Â™s not ready technologically. Advance the nuclear energy agenda.,positive
"""When talking about North Korean nuclear weapons, we need China's help."" - Robert King #ASNorthKorea",neutral
This just in: North Korea has agreed to put a space between Nuclear and Weapons as in ÃƒÂ¢Ã¢Â‚Â¬Ã‹ÂœNuclear WeaponsÃƒÂ¢Ã¢Â‚Â¬Ã¢Â„Â¢. This is such a great accomplishment in ÃƒÂ¢Ã¢Â‚Â¬Ã‹ÂœdenuclearizationÃƒÂ¢Ã¢Â‚Â¬Ã¢Â„Â¢ in the history of humankind that the Nobel Committee is renaming it to Nobel Piss Prize to award to @realDonaldTrump https://t.co/sYwpoV0Vzu,positive
Thankfully new #nuclear power is still on the cards for the UK. If only to replace existing stations. Govt clear on no public subsidies.,positive
"#OurBMSA innovators are designing creative ways to survive in: the ????desert, the ???? jungle, a raft on the ???? ocean, colonizing the ????moon, a post-nuclear ???? wasteland, a zombie ?????Ã‚Â€???Ã‚Â€??? apocalypse AND MORE! Stay tuned for their #SurvivalByScience guides! https://t.co/6kTNXqd341",positive
"The 'Ides' of January is here.
Russia-Ukraine war live: explosions in Kyiv; Russia ?????????????deploys 10 vessels from Black Sea fleet?????????????? https://t.co/L1ePYiBEvV",neutral
Energy News: Duke Energy cancels Harris nuclear plant expansion plan in US: Duke Energy has asked... http://t.co/oHHEGfbhsj #gdi #energy,neutral
"@TulsiGabbard You are delusional and you should stop projecting nuclear war.
What rock have you been hiding under?
Team Trump/Putin both have a common enemy.
Nuclear war was averted '16 election.
Look up Qanon and learn something. https://t.co/A9XFDHM3vS",negative
"If y???â‚¬??all want to help a broke indigenous student study transition from nuclear to renewable energy and disaster mitigation abroad in Japan retweet and or donate ?????????????????????????????????????????????????????????????????????????????? 
https://t.co/YCN7uzctZ9",neutral
"""Tumbleweed vortex hits Matt &amp; old Bessie Ã°ÂŸÂŒÂª at a decommissioned Nuclear Reactor site"" More impressive than my Maltese somehow digging the sound insulation out of vintage Becker 500 watt DJ speakers Ã°ÂŸÂÂ¶ https://t.co/sFwLH9YiKM",positive
"Sanjoy Sen: Nuclear is the best path to a greener, cheaper, and more secure energy supply https://t.co/EoGhZcDpBB via @conhome",positive
@icanseeyourpix2 + coal and I am heavily for nuclear power.,neutral
"@eet_foundation @Ibrodollars @hut_green @Mondayolu @Abdgofars @abdalahnyambi20 @ClimateWed @theGEF @environewsng @ClimateWorks @ClimateReality Clean energy, on the other hand, is a broader term that encompasses not only renewable sources but also other forms of energy with low environmental impact, like nuclear power and natural gas with carbon capture technology.",neutral
"""@SenTedCruz: Proud to stand with Prime Minister Netanyahu, with the nation of Israel, and against a nuclear Iran! http://t.co/GZGEsGQTnj""",positive
#news : Pak pins hope on France in quest of nuclear technology for energy requirements - http://n.thaindian.com/104412,neutral
"They needlessly wasted our troops at Gallipolli, they left nuclear waste at Maralinga, incarcerate journalist Assange for the US to extradite whilst Prince Andrew refuses to answer their pedophilia allegations, what a farce it is that we relish honours from a monarch so distant?",negative
"@seekingsompeace @NoApologies1776 @RepSwalwell No worries.  It was interesting ... 2 yrs of school to learn how to operate Reactors for Subs and Carriers (Nimitz for me).  More safeguards than commercial Nuclear power, so something to be learned, and I?ÃƒÂ¢Ã¢Â€ÂšÃ‚Â¬?m a proponent as well.",positive
"25Q Multi-Channel Tra... - #Topeka , KS (http://t.co/5Te09zrC) Get Nuclear Technician Jobs #NuclearTechnician #jobs #job #GetAllJobs",neutral
Ready to save the world from nuclear annihilation. Wish us luck! The Last DefenderÃƒÂ¢Ã¢Â‚Â¬Ã‚Â¦ https://t.co/gIDkK7YTx3,positive
"NBC News SurveyMonkey poll of who do you trust with Nuclear weapons, 9/4/16
Hillary Clinton 44%       Donald Trump 24%",neutral
Alief Doc Taylor grad completes nuclear power training http://bit.ly/doMJ65 via http://outside.in/77477,neutral
"Thanks Trump &amp; rural voters!
Kim Jong Un 'would nuke Los Angeles' if his rule was threatened
https://t.co/Hfj1UcjTiv",positive
"Im not a nuclear power engineer or anything but....oh wait, I am ÃƒÂ°Ã…Â¸Ã‹ÂœÃ¢Â€Âš. (Or will be)",neutral
"Astronomers are hopeful that the James Webb Telescope, scheduled to be launched later this year, will be able to look back in time and witness the beginning of the universe with the birth of these first stars powered by nuclear fusion.... https://t.co/WZnala7Hst",positive
@soledadobrien Messy is the kindest way of saying???â‚¬?? the dictator is moody as fuck. Thank G-d he doesn???â‚¬??t have the suitcase or the nuclear codes. ????????????,negative
http://t.co/NMcPXmRP Nuclear Technology Life Science HTTP Julia Roberts Photography,neutral
"Mentioned in testimony: well-known OC mediator Layn Phillips, whose cases include San Onofre nuclear plant. He and Bruce Cahill are friends.",neutral
"@BimboBeau @Schuldensuehner Best, most modern, best mantained nuclear plants in the world. They even shut down a completely new built plant which wasn't even used.",positive
"Alright ladies, our president is pulling out of a nuclear treaty with Russia so letÃƒÂ¢Ã¢Â‚Â¬Ã¢Â„Â¢s start preparing to be drafted",neutral
it's weird that nuclear security is under the control of the Department of Energy,negative
On nuclear weapons and missile defence http://t.co/InTe39rQ39,neutral
"Putin, like Tr*mp, confesses through projection. 

Putin made a point of taking control of two Ukrainian nuclear plants. 

Now Putin says - without evidence - that Ukraine is making a nuclear dirty bomb. 

This does not end well. 

cc: @UN @NATO  @ZelenskyyUa https://t.co/ZjbmfZEczP",negative
LETS be CLEAR ..Sr. Admin official #Iran must provide access 2 Parchin 2 resolve #IAEA concerns over military nuclear program #IranDeal,neutral
Jellyfish Clog Up Water Intake for Reactor 3 at Ooi Nuclear Power Plant: Even the jellyfish is anti-nuclear thes... http://t.co/8yzS78to,neutral
"Big #Nuclear 's cosy relationship w/ the Obama administration| Amy Goodman http://t.co/Zu1kPpTS via @guardian Shut them down,Mr. President!",neutral
"New FROGCATCHERS by Jeff Lemire, 30% off the cover price this week!! Another great story from one of the Masters of Modern Comics. 
#frogcatcherscomic #jefflemire #gallery13comics #ncbd @ Nuclear Comics https://t.co/cLGLcTXwmO",positive
Dystopia: Competition Entries ????????????€? Gallery 2: The future looks bright... nuclear bright. http://t.co/Lwttxxdy,positive
I liked a @YouTube video https://t.co/lTUsL8ZT0L MY BEST NUCLEAR EVER!!!!! 51-0,positive
cheap clean energy allows us to reduce our impact on the environment http://t.co/CgFYnf7a10  #thorium #nuclear #energy will help with that,positive
Register now for the @NI_YGN North West Branch Speaking Competition ???????€????€? https://t.co/qzt2scu0x8 #nuclear #energy https://t.co/kR463bxaqK,neutral
