fission1,capture1,scat11,scat12,fission2,capture2,scat21,scat22,k
6.42674E-03,9.45016E-03,4.97805E-01,1.56044E-02,1.29844E-01,8.09466E-02,1.51924E-03,1.13264E+00,1.251493
6.53685E-03,9.32198E-03,4.88477E-01,1.52825E-02,1.30473E-01,8.09976E-02,1.49541E-03,1.12453E+00,1.262277
6.35531E-03,9.48536E-03,4.97818E-01,1.55928E-02,1.30625E-01,8.12807E-02,1.51369E-03,1.12782E+00,1.248572
6.39765E-03,9.28485E-03,4.86130E-01,1.51708E-02,1.29943E-01,8.07664E-02,1.49316E-03,1.12682E+00,1.255657
6.46919E-03,9.32455E-03,4.91067E-01,1.52360E-02,1.30188E-01,8.11038E-02,1.50965E-03,1.12959E+00,1.255211
6.37646E-03,9.35582E-03,4.96150E-01,1.54101E-02,1.30655E-01,8.10337E-02,1.51909E-03,1.13246E+00,1.256639
6.44361E-03,9.37313E-03,4.97065E-01,1.56410E-02,1.29763E-01,8.06078E-02,1.50339E-03,1.12837E+00,1.260207
6.39589E-03,9.47927E-03,4.98134E-01,1.56656E-02,1.30410E-01,8.07487E-02,1.50192E-03,1.12892E+00,1.25644
6.37511E-03,9.55950E-03,4.98263E-01,1.58052E-02,1.29840E-01,8.10883E-02,1.50693E-03,1.12780E+00,1.245041
6.35948E-03,9.39504E-03,4.96728E-01,1.55031E-02,1.29951E-01,8.08878E-02,1.51234E-03,1.13061E+00,1.251702
6.38364E-03,9.25228E-03,4.90727E-01,1.53457E-02,1.29362E-01,8.08948E-02,1.50535E-03,1.12588E+00,1.253226
6.39897E-03,9.44696E-03,4.95012E-01,1.53300E-02,1.30850E-01,8.12726E-02,1.52576E-03,1.13287E+00,1.250319
6.36833E-03,9.42316E-03,5.00844E-01,1.58094E-02,1.29365E-01,8.07445E-02,1.50942E-03,1.13297E+00,1.252196
6.39220E-03,9.46595E-03,4.97259E-01,1.56748E-02,1.30445E-01,8.08679E-02,1.50536E-03,1.12717E+00,1.2559
6.40735E-03,9.47237E-03,4.95476E-01,1.57209E-02,1.29403E-01,8.09701E-02,1.49713E-03,1.12561E+00,1.247611
6.55662E-03,9.26525E-03,4.86398E-01,1.50798E-02,1.30484E-01,8.09313E-02,1.50616E-03,1.12773E+00,1.264064
6.46269E-03,9.23992E-03,4.88897E-01,1.53756E-02,1.30253E-01,8.07169E-02,1.49676E-03,1.12534E+00,1.266577
6.45781E-03,9.38123E-03,4.88912E-01,1.52706E-02,1.30496E-01,8.11992E-02,1.50829E-03,1.12680E+00,1.253481
6.50975E-03,9.34647E-03,4.90783E-01,1.53303E-02,1.29809E-01,8.11936E-02,1.50413E-03,1.12712E+00,1.253123
6.39912E-03,9.23886E-03,4.84764E-01,1.51321E-02,1.29605E-01,8.05759E-02,1.49299E-03,1.12728E+00,1.257323
6.34421E-03,9.35523E-03,4.90802E-01,1.53290E-02,1.28484E-01,8.09125E-02,1.50473E-03,1.12733E+00,1.239158
6.38833E-03,9.37217E-03,4.87243E-01,1.52927E-02,1.29812E-01,8.10688E-02,1.49457E-03,1.12265E+00,1.247875
6.29953E-03,9.46067E-03,4.96043E-01,1.56568E-02,1.29997E-01,8.13580E-02,1.49084E-03,1.12253E+00,1.242814
6.37513E-03,9.42140E-03,4.97348E-01,1.56147E-02,1.29895E-01,8.09869E-02,1.51537E-03,1.12958E+00,1.25093
6.27048E-03,9.38280E-03,4.92689E-01,1.55279E-02,1.29185E-01,8.07385E-02,1.48767E-03,1.11954E+00,1.245083
6.41821E-03,9.24193E-03,4.91350E-01,1.53209E-02,1.29780E-01,8.05679E-02,1.50234E-03,1.13008E+00,1.262055
6.34730E-03,9.52341E-03,4.98655E-01,1.56855E-02,1.30820E-01,8.11218E-02,1.50276E-03,1.12779E+00,1.25111
6.46153E-03,9.33852E-03,4.87992E-01,1.51014E-02,1.30685E-01,8.09414E-02,1.51338E-03,1.12664E+00,1.258003
6.37787E-03,9.39847E-03,4.92351E-01,1.53787E-02,1.29410E-01,8.10490E-02,1.50432E-03,1.12798E+00,1.244462
6.30305E-03,9.36542E-03,4.96541E-01,1.56141E-02,1.29769E-01,8.08097E-02,1.49879E-03,1.12557E+00,1.252096
6.34788E-03,9.28615E-03,4.91117E-01,1.53697E-02,1.28670E-01,8.08469E-02,1.48972E-03,1.12368E+00,1.245651
6.43899E-03,9.23087E-03,4.90078E-01,1.53449E-02,1.29581E-01,8.07212E-02,1.50517E-03,1.12775E+00,1.260393
6.53372E-03,9.17793E-03,4.83090E-01,1.49492E-02,1.29548E-01,8.09351E-02,1.51658E-03,1.13211E+00,1.258693
6.37333E-03,9.46722E-03,4.96005E-01,1.55906E-02,1.29955E-01,8.10712E-02,1.50773E-03,1.12899E+00,1.247658
6.40615E-03,9.29925E-03,4.90088E-01,1.53537E-02,1.29631E-01,8.09963E-02,1.49779E-03,1.12349E+00,1.252642
6.51553E-03,9.38064E-03,4.90442E-01,1.53470E-02,1.30342E-01,8.12353E-02,1.50455E-03,1.12714E+00,1.255369
6.35645E-03,9.50608E-03,4.93874E-01,1.55374E-02,1.29152E-01,8.13161E-02,1.51140E-03,1.12753E+00,1.23521
6.43907E-03,9.31322E-03,4.89671E-01,1.54085E-02,1.30027E-01,8.07979E-02,1.48959E-03,1.12301E+00,1.25955
6.28487E-03,9.54696E-03,4.95622E-01,1.56902E-02,1.29227E-01,8.09206E-02,1.48906E-03,1.12325E+00,1.237844
6.45295E-03,9.34435E-03,4.93984E-01,1.54356E-02,1.30715E-01,8.10593E-02,1.51206E-03,1.12863E+00,1.260884
6.43552E-03,9.45246E-03,4.95895E-01,1.55500E-02,1.30363E-01,8.13486E-02,1.50919E-03,1.12578E+00,1.250059
6.45801E-03,9.28767E-03,4.86569E-01,1.51258E-02,1.30915E-01,8.13888E-02,1.51000E-03,1.12748E+00,1.25712
6.41665E-03,9.32232E-03,4.88011E-01,1.53142E-02,1.29437E-01,8.08567E-02,1.48883E-03,1.12165E+00,1.25158
6.36172E-03,9.48973E-03,4.99994E-01,1.57436E-02,1.31212E-01,8.11969E-02,1.51736E-03,1.13145E+00,1.256242
6.43069E-03,9.30959E-03,4.88200E-01,1.53863E-02,1.31465E-01,8.09218E-02,1.49693E-03,1.12404E+00,1.268526
6.34534E-03,9.48765E-03,4.98904E-01,1.57355E-02,1.30252E-01,8.09937E-02,1.51303E-03,1.13288E+00,1.250754
6.52229E-03,9.19475E-03,4.80822E-01,1.49660E-02,1.30203E-01,8.06142E-02,1.49306E-03,1.12485E+00,1.266509
6.39960E-03,9.30645E-03,4.88464E-01,1.51261E-02,1.29726E-01,8.09548E-02,1.50513E-03,1.12869E+00,1.250019
6.45793E-03,9.36759E-03,4.88808E-01,1.52560E-02,1.29835E-01,8.09481E-02,1.50110E-03,1.12808E+00,1.252029
6.40406E-03,9.48940E-03,4.91271E-01,1.54890E-02,1.29411E-01,8.11510E-02,1.50005E-03,1.12339E+00,1.241273
6.36752E-03,9.53222E-03,4.99358E-01,1.57112E-02,1.29835E-01,8.08192E-02,1.50798E-03,1.12946E+00,1.247989
6.37182E-03,9.40835E-03,4.94185E-01,1.54589E-02,1.29974E-01,8.09709E-02,1.51278E-03,1.12911E+00,1.250059
6.36213E-03,9.45789E-03,4.93704E-01,1.56346E-02,1.30523E-01,8.10375E-02,1.50110E-03,1.12645E+00,1.25304
6.38762E-03,9.36025E-03,4.91699E-01,1.53346E-02,1.29515E-01,8.10741E-02,1.50743E-03,1.12894E+00,1.24668
6.42842E-03,9.33454E-03,4.91347E-01,1.53014E-02,1.29871E-01,8.13388E-02,1.50886E-03,1.12696E+00,1.248697
6.44833E-03,9.35985E-03,4.91008E-01,1.53186E-02,1.30674E-01,8.11240E-02,1.50053E-03,1.12645E+00,1.257169
6.43171E-03,9.23693E-03,4.93835E-01,1.54759E-02,1.30570E-01,8.06139E-02,1.49755E-03,1.12765E+00,1.270564
6.49231E-03,9.14907E-03,4.82292E-01,1.50475E-02,1.30295E-01,8.09271E-02,1.50206E-03,1.12683E+00,1.265666
6.43438E-03,9.40075E-03,4.97442E-01,1.55821E-02,1.31674E-01,8.10111E-02,1.52801E-03,1.13362E+00,1.267188
6.43230E-03,9.38425E-03,4.92671E-01,1.53631E-02,1.31302E-01,8.12764E-02,1.51354E-03,1.12686E+00,1.258761
6.43051E-03,9.39577E-03,4.88567E-01,1.53249E-02,1.31020E-01,8.10432E-02,1.49621E-03,1.12733E+00,1.258313
6.39618E-03,9.44915E-03,4.92731E-01,1.54531E-02,1.30789E-01,8.13098E-02,1.51281E-03,1.12798E+00,1.250963
6.42650E-03,9.41512E-03,4.90299E-01,1.54744E-02,1.30804E-01,8.09519E-02,1.49817E-03,1.12557E+00,1.258737
6.28930E-03,9.46819E-03,5.00349E-01,1.57328E-02,1.30241E-01,8.10395E-02,1.50811E-03,1.12744E+00,1.248778
6.38914E-03,9.42842E-03,4.96469E-01,1.56111E-02,1.30101E-01,8.09864E-02,1.50314E-03,1.12821E+00,1.252688
6.38119E-03,9.37983E-03,4.95449E-01,1.55359E-02,1.29912E-01,8.10972E-02,1.50361E-03,1.12860E+00,1.251007
6.38358E-03,9.39885E-03,4.94423E-01,1.55468E-02,1.30413E-01,8.08017E-02,1.49686E-03,1.12382E+00,1.257738
6.31955E-03,9.39046E-03,4.97117E-01,1.56470E-02,1.29336E-01,8.07352E-02,1.49333E-03,1.12495E+00,1.24956
6.45215E-03,9.31613E-03,4.93835E-01,1.52860E-02,1.30535E-01,8.14682E-02,1.52744E-03,1.13156E+00,1.253821
6.41306E-03,9.32870E-03,4.91962E-01,1.53514E-02,1.29574E-01,8.05968E-02,1.50764E-03,1.12971E+00,1.255824
6.54207E-03,9.23288E-03,4.82882E-01,1.49589E-02,1.31424E-01,8.13764E-02,1.50659E-03,1.12546E+00,1.265132
6.42471E-03,9.40706E-03,4.90394E-01,1.53087E-02,1.30454E-01,8.09751E-02,1.49810E-03,1.12637E+00,1.253786
6.38238E-03,9.45619E-03,4.95199E-01,1.54097E-02,1.30429E-01,8.11794E-02,1.51147E-03,1.12867E+00,1.248294
6.51149E-03,9.25254E-03,4.85445E-01,1.51845E-02,1.29190E-01,8.09263E-02,1.48990E-03,1.12200E+00,1.254578
6.36836E-03,9.33666E-03,4.94375E-01,1.55529E-02,1.30355E-01,8.09532E-02,1.50055E-03,1.12841E+00,1.258069
6.35318E-03,9.40849E-03,4.92233E-01,1.53980E-02,1.31301E-01,8.12076E-02,1.50134E-03,1.12747E+00,1.255655
6.39770E-03,9.40409E-03,4.93273E-01,1.53569E-02,1.31107E-01,8.13254E-02,1.51376E-03,1.12701E+00,1.254161
6.39806E-03,9.37170E-03,4.92398E-01,1.55975E-02,1.31292E-01,8.08364E-02,1.49219E-03,1.12508E+00,1.26677
6.37068E-03,9.48830E-03,4.99160E-01,1.56779E-02,1.30511E-01,8.10570E-02,1.51275E-03,1.12884E+00,1.252104
6.36485E-03,9.39998E-03,4.90267E-01,1.53584E-02,1.29351E-01,8.12536E-02,1.50381E-03,1.12823E+00,1.240657
6.49870E-03,9.44070E-03,4.91375E-01,1.52654E-02,1.30587E-01,8.13298E-02,1.50766E-03,1.12722E+00,1.25114
6.36604E-03,9.43533E-03,4.95746E-01,1.55904E-02,1.29786E-01,8.10210E-02,1.51132E-03,1.13012E+00,1.248254
6.33813E-03,9.48925E-03,4.95908E-01,1.55453E-02,1.29951E-01,8.09195E-02,1.51060E-03,1.12745E+00,1.246296
6.50458E-03,9.34744E-03,4.89204E-01,1.52340E-02,1.30711E-01,8.12603E-02,1.51305E-03,1.12702E+00,1.257508
6.52821E-03,9.18416E-03,4.82968E-01,1.49914E-02,1.28728E-01,8.08348E-02,1.49896E-03,1.12419E+00,1.25372
6.31002E-03,9.52777E-03,4.93810E-01,1.55306E-02,1.29527E-01,8.10501E-02,1.51271E-03,1.12737E+00,1.238186
6.45435E-03,9.26579E-03,4.90593E-01,1.52868E-02,1.30812E-01,8.09265E-02,1.50902E-03,1.12985E+00,1.265297
6.45082E-03,9.23066E-03,4.86637E-01,1.50310E-02,1.30371E-01,8.14420E-02,1.51466E-03,1.13037E+00,1.2537
6.47131E-03,9.30208E-03,4.87252E-01,1.51914E-02,1.29719E-01,8.14117E-02,1.50281E-03,1.12428E+00,1.2486
6.33288E-03,9.41300E-03,4.95074E-01,1.53847E-02,1.30554E-01,8.14252E-02,1.51824E-03,1.12628E+00,1.246044
6.34653E-03,9.39062E-03,4.97862E-01,1.57038E-02,1.29239E-01,8.12345E-02,1.50901E-03,1.12886E+00,1.244542
6.44808E-03,9.28142E-03,4.88519E-01,1.52873E-02,1.30190E-01,8.10083E-02,1.50118E-03,1.12655E+00,1.258499
6.27077E-03,9.57421E-03,5.02292E-01,1.59496E-02,1.30030E-01,8.11580E-02,1.50831E-03,1.12616E+00,1.242799
6.42818E-03,9.29980E-03,4.91630E-01,1.54068E-02,1.29589E-01,8.09154E-02,1.49673E-03,1.12579E+00,1.254955
6.45059E-03,9.44467E-03,4.94996E-01,1.55787E-02,1.29460E-01,8.12284E-02,1.50773E-03,1.12643E+00,1.246072
6.43536E-03,9.31429E-03,4.86007E-01,1.51625E-02,1.28938E-01,8.10231E-02,1.50393E-03,1.12457E+00,1.244827
6.49360E-03,9.34792E-03,4.89774E-01,1.53733E-02,1.29980E-01,8.09897E-02,1.51129E-03,1.12908E+00,1.256729
6.39393E-03,9.44355E-03,4.95362E-01,1.54906E-02,1.29241E-01,8.08319E-02,1.50527E-03,1.12875E+00,1.24575
6.46482E-03,9.27842E-03,4.85048E-01,1.51252E-02,1.29639E-01,8.09321E-02,1.49805E-03,1.12445E+00,1.253794
6.50257E-03,9.35301E-03,4.89550E-01,1.51387E-02,1.29884E-01,8.07663E-02,1.51775E-03,1.13187E+00,1.255486
6.45481E-03,9.37284E-03,4.92632E-01,1.54935E-02,1.30419E-01,8.11353E-02,1.50421E-03,1.12778E+00,1.257151
6.46839E-03,9.40715E-03,4.94294E-01,1.55779E-02,1.30396E-01,8.09480E-02,1.50679E-03,1.12817E+00,1.259225
6.46073E-03,9.25935E-03,4.85669E-01,1.50502E-02,1.29579E-01,8.08919E-02,1.50291E-03,1.12655E+00,1.253581
