length,width,height,engine-size,horsepower,peak-rpm,city-mpg,highway-mpg,price
170.2,63.8,53.5,97,69,5200,31,37,7349
165.3,63.8,54.5,97,69,5200,31,37,7299
165.6,63.8,53.3,97,69,5200,31,37,7799
165.3,63.8,54.5,97,69,5200,31,37,7499
170.2,63.8,53.5,97,69,5200,31,37,7999
162.4,63.8,53.3,97,69,5200,31,37,8249
173.4,65.2,54.7,120,97,5200,27,34,8949
173.4,65.2,54.7,120,97,5200,27,34,9549
181.7,66.5,55.1,181,152,5200,17,22,13499
184.6,66.5,56.1,181,152,5200,17,22,14399
184.6,66.5,55.1,181,152,5200,19,25,13499
170.7,67.9,49.7,181,160,5200,19,25,17199
170.7,67.9,49.7,181,200,5200,17,23,19699
178.5,67.9,49.7,181,160,5200,19,25,18399
186.7,68.4,56.7,120,97,5000,19,24,11900
186.7,68.4,56.7,152,95,4150,28,33,13200
198.9,68.4,58.7,120,97,5000,19,24,12440
198.9,68.4,58.7,152,95,4150,25,25,13860
186.7,68.4,56.7,120,95,5000,19,24,15580
186.7,68.4,56.7,152,95,4150,28,33,16900
198.9,68.4,56.7,120,95,5000,19,24,16695
198.9,68.4,58.7,152,95,4150,25,25,17075
186.7,68.4,56.7,120,97,5000,19,24,16630
186.7,68.4,56.7,152,95,4150,28,33,17950
186.7,68.3,56,134,142,5600,18,24,18150
157.3,63.8,50.8,90,68,5500,37,41,5572
157.3,63.8,50.8,98,102,5500,24,30,7957
157.3,63.8,50.6,90,68,5500,31,38,6229
167.3,63.8,50.8,90,68,5500,31,38,6692
167.3,63.8,50.8,98,68,5500,31,38,7609
174.6,64.6,59.8,122,88,5000,24,30,8921
173.2,66.3,50.2,156,145,5000,19,24,12764
168.9,68.3,50.2,151,143,5500,19,27,22018
168.9,65,51.6,194,207,5900,17,25,32528
168.9,65,51.6,194,207,5900,17,25,34028
168.9,65,51.6,194,207,5900,17,25,37028
175.7,72.3,50.5,203,288,5750,17,28,
181.5,66.5,55.2,132,,,23,31,9295
176.8,66.6,50.5,132,,,23,31,9895
186.6,66.5,56.1,121,110,5250,21,28,11850
186.6,66.5,56.1,121,110,5250,21,28,12170
186.6,66.5,56.1,121,110,5250,21,28,15040
186.6,66.5,56.1,121,110,5250,21,28,15510
186.6,66.5,56.1,121,160,5500,19,26,18150
186.6,66.5,56.1,121,160,5500,19,26,18620
156.9,63.4,53.7,97,69,4900,31,36,5118
157.9,63.6,53.7,108,73,4400,26,31,7053
157.3,63.8,55.7,108,73,4400,26,31,7603
172,65.4,52.5,108,82,4800,32,37,7126
172,65.4,52.5,108,82,4400,28,33,7775
172,65.4,52.5,108,94,5200,26,32,9960
172,65.4,54.3,108,82,4800,24,25,9233
172,65.4,54.3,108,111,4800,24,29,11259
173.5,65.4,53,108,82,4800,28,32,7463
173.5,65.4,53,108,94,5200,25,31,10198
173.6,65.4,54.9,108,82,4800,23,29,8013
173.6,65.4,54.9,108,111,4800,23,23,11694
158.7,63.6,54.5,92,62,4800,35,39,5348
158.7,63.6,54.5,92,62,4800,31,38,6338
158.7,63.6,54.5,92,62,4800,31,38,6488
169.7,63.6,59.1,92,62,4800,31,37,6918
169.7,63.6,59.1,92,62,4800,27,32,7898
169.7,63.6,59.1,92,62,4800,27,32,8778
166.3,64.4,53,98,70,4800,30,37,6938
166.3,64.4,52.8,98,70,4800,30,37,7198
166.3,64.4,53,110,56,4500,34,36,7898
166.3,64.4,52.8,110,56,4500,38,47,7788
166.3,64.4,53,98,70,4800,38,47,7738
166.3,64.4,52.8,98,70,4800,28,34,8358
166.3,64.4,52.8,98,70,4800,28,34,9258
168.7,64,52.6,98,70,4800,29,34,8058
168.7,64,52.6,98,70,4800,29,34,8238
168.7,64,52.6,98,112,6600,26,29,9298
168.7,64,52.6,98,112,6600,26,29,9538
176.2,65.6,52,146,116,4800,24,30,8449
176.2,65.6,52,146,116,4800,24,30,9639
176.2,65.6,52,146,116,4800,24,30,9989
176.2,65.6,52,146,116,4800,24,30,11199
176.2,65.6,52,146,116,4800,24,30,11549
176.2,65.6,53,146,116,4800,24,30,17669
175.6,66.5,54.9,122,92,4200,29,34,8948
175.6,66.5,54.9,110,73,4500,30,33,10698
175.6,66.5,53.9,122,92,4200,27,32,9988
175.6,66.5,54.9,122,92,4200,27,32,10898
175.6,66.5,53.9,122,92,4200,27,32,11248
183.5,67.7,52,171,161,5200,20,24,16558
183.5,67.7,52,171,161,5200,19,24,15998
187.8,66.5,54.1,171,156,5200,20,24,15690
187.8,66.5,54.1,161,156,5200,19,24,15750
171.7,65.5,55.7,97,52,4800,37,46,7775
171.7,65.5,55.7,109,85,5250,27,34,7975
171.7,65.5,55.7,97,52,4800,37,46,7995
171.7,65.5,55.7,109,85,5250,27,34,8195
171.7,65.5,55.7,109,85,5250,27,34,8495
171.7,65.5,55.7,97,68,4500,37,42,9495
171.7,65.5,55.7,109,100,5500,26,32,9995
159.3,64.2,55.6,109,90,5500,24,29,11595
165.7,64,51.4,109,90,5500,24,29,9980
180.2,66.9,55.1,136,110,5500,19,24,13295
180.2,66.9,55.1,97,68,4500,33,38,13845
183.1,66.9,55.1,109,88,5500,25,31,12290
188.8,67.2,56.2,141,114,5400,23,28,12940
188.8,67.2,57.5,141,114,5400,23,28,13415
188.8,67.2,56.2,141,114,5400,24,28,15985
188.8,67.2,57.5,141,114,5400,24,28,16515
188.8,67.2,56.2,130,162,5100,17,22,18420
188.8,67.2,57.5,130,162,5100,17,22,18950
188.8,68.9,55.5,141,114,5400,23,28,16845
188.8,68.8,55.5,141,160,5300,19,25,19045
188.8,68.9,55.5,173,134,5500,18,23,21485
188.8,68.9,55.5,145,106,4800,26,27,22470
188.8,68.9,55.5,141,114,5400,19,25,22625
