Sentence #,Word,Tag
7,In,GENERAL
,the,GENERAL
,letter,GENERAL
,from,GENERAL
,the,GENERAL
,AI,GENERAL
,team,GENERAL
,to,GENERAL
,Pichai,GENERAL
,Gebru,GENERAL
,former,GENERAL
,colleagues,GENERAL
,ask,GENERAL
,that,GENERAL
,Megan,GENERAL
,Kacholia,GENERAL
,a,GENERAL
,vice,GENERAL
,president,GENERAL
,at,GENERAL
,Google,GENERAL
,Research,GENERAL
,whom,GENERAL
,the,GENERAL
,researchers,GENERAL
,accuse,GENERAL
,of,GENERAL
,going,GENERAL
,around,GENERAL
,the,GENERAL
,team,GENERAL
,direct,GENERAL
,supervisor,GENERAL
,to,GENERAL
,fire,GENERAL
,Gebru,GENERAL
,be,GENERAL
,removed,GENERAL
,from,GENERAL
,their,GENERAL
,reporting,GENERAL
,chain,GENERAL
,.,GENERAL
8,We,GENERAL
,have,GENERAL
,lost,GENERAL
,confidence,GENERAL
,in,GENERAL
,Megan,GENERAL
,Kacholia,GENERAL
,the,GENERAL
,researchers,GENERAL
,wrote,GENERAL
,saying,GENERAL
,Gebru,GENERAL
,firing,GENERAL
,happened,GENERAL
,without,GENERAL
,warning,GENERAL
,rather,GENERAL
,than,GENERAL
,engaging,GENERAL
,in,GENERAL
,dialogue,GENERAL
,.,GENERAL
9,Google,GENERAL
,which,GENERAL
,is,GENERAL
,owned,GENERAL
,by,GENERAL
,parent,GENERAL
,company,GENERAL
,Alphabet,GENERAL
,did,GENERAL
,not,GENERAL
,respond,GENERAL
,to,GENERAL
,a,GENERAL
,request,GENERAL
,for,GENERAL
,comment,GENERAL
,.,GENERAL
10,Google,GENERAL
,CEO,GENERAL
,Apologizes,GENERAL
,Vows,GENERAL
,To,GENERAL
,Restore,GENERAL
,Trust,GENERAL
,After,GENERAL
,Black,DEI
,Scientist,GENERAL
,Ouster,GENERAL
,Google,GENERAL
,has,GENERAL
,maintained,GENERAL
,that,GENERAL
,Gebru,GENERAL
,resigned,GENERAL
,though,GENERAL
,Gebru,GENERAL
,says,GENERAL
,she,GENERAL
,never,GENERAL
,voluntarily,GENERAL
,agreed,GENERAL
,to,GENERAL
,leave,GENERAL
,the,GENERAL
,company,GENERAL
,.,GENERAL
11,In,GENERAL
,a,GENERAL
,company,GENERAL
,email,GENERAL
,after,GENERAL
,the,GENERAL
,episode,GENERAL
,Pichai,GENERAL
,acknowledged,GENERAL
,that,GENERAL
,the,GENERAL
,incident,GENERAL
,seeded,GENERAL
,doubts,GENERAL
,and,GENERAL
,led,GENERAL
,some,GENERAL
,in,GENERAL
,our,GENERAL
,community,GENERAL
,to,GENERAL
,question,GENERAL
,their,GENERAL
,place,GENERAL
,at,GENERAL
,Google,GENERAL
,.,GENERAL
12,He,GENERAL
,committed,GENERAL
,to,GENERAL
,rebuilding,GENERAL
,employees,GENERAL
,trust,GENERAL
,and,GENERAL
,supporting,DEI
,independent,GENERAL
,research,GENERAL
,.,GENERAL
13,Yet,GENERAL
,in,GENERAL
,their,GENERAL
,letter,GENERAL
,to,GENERAL
,him,GENERAL
,on,GENERAL
,Wednesday,GENERAL
,the,GENERAL
,researchers,GENERAL
,were,GENERAL
,doubtful,GENERAL
,their,GENERAL
,work,GENERAL
,could,GENERAL
,resume,GENERAL
,in,GENERAL
,the,GENERAL
,absence,GENERAL
,of,GENERAL
,major,GENERAL
,overhauls,GENERAL
,inside,GENERAL
,the,GENERAL
,company,GENERAL
,.,GENERAL
14,Gebru,GENERAL
,helped,GENERAL
,establish,GENERAL
,Black,DEI
,in,GENERAL
,AI,GENERAL
,a,GENERAL
,group,GENERAL
,that,GENERAL
,supports,DEI
,Black,DEI
,researchers,GENERAL
,in,GENERAL
,the,GENERAL
,field,GENERAL
,of,GENERAL
,artificial,GENERAL
,intelligence,GENERAL
,.,GENERAL
15,She,GENERAL
,also,GENERAL
,was,GENERAL
,the,GENERAL
,of,GENERAL
,pioneering,GENERAL
,research,GENERAL
,into,GENERAL
,facial,GENERAL
,recognition,GENERAL
,technology,GENERAL
,that,GENERAL
,demonstrated,GENERAL
,how,GENERAL
,people,GENERAL
,of,GENERAL
,color,BIAS
,and,GENERAL
,women,DEI
,are,GENERAL
,misidentified,GENERAL
,far,GENERAL
,more,GENERAL
,often,GENERAL
,than,GENERAL
,white,GENERAL
,faces,GENERAL
,.,GENERAL
16,The,GENERAL
,study,GENERAL
,helped,GENERAL
,persuade,GENERAL
,IBM,GENERAL
,Amazon,GENERAL
,and,GENERAL
,Microsoft,GENERAL
,to,GENERAL
,stop,GENERAL
,selling,GENERAL
,the,GENERAL
,technology,GENERAL
,to,GENERAL
,law,GENERAL
,enforcement,GENERAL
,.,GENERAL
17,At,GENERAL
,Google,GENERAL
,Gebru,GENERAL
,former,GENERAL
,team,GENERAL
,wrote,GENERAL
,in,GENERAL
,the,GENERAL
,Wednesday,GENERAL
,letter,GENERAL
,that,GENERAL
,studying,GENERAL
,ways,GENERAL
,to,GENERAL
,reduce,GENERAL
,the,GENERAL
,harm,GENERAL
,of,GENERAL
,AI,GENERAL
,on,GENERAL
,marginalized,BIAS
,groups,GENERAL
,is,GENERAL
,key,GENERAL
,to,GENERAL
,their,GENERAL
,mission,GENERAL
,.,GENERAL
18,And,GENERAL
,they,GENERAL
,worried,GENERAL
,that,GENERAL
,Google,GENERAL
,interests,GENERAL
,and,GENERAL
,immediate,GENERAL
,revenue,GENERAL
,agendas,GENERAL
,could,GENERAL
,stand,GENERAL
,in,GENERAL
,the,GENERAL
,way,GENERAL
,of,GENERAL
,investigating,GENERAL
,sensitive,GENERAL
,areas,GENERAL
,of,GENERAL
,study,GENERAL
,.,GENERAL
19,Last,GENERAL
,month,GENERAL
,Google,GENERAL
,abruptly,GENERAL
,asked,GENERAL
,Gebru,GENERAL
,to,GENERAL
,retract,GENERAL
,a,GENERAL
,research,GENERAL
,paper,GENERAL
,focused,GENERAL
,on,GENERAL
,the,GENERAL
,potential,GENERAL
,biases,BIAS
,baked,GENERAL
,into,GENERAL
,an,GENERAL
,AI,GENERAL
,system,GENERAL
,that,GENERAL
,attempts,GENERAL
,to,GENERAL
,mimic,GENERAL
,human,GENERAL
,speech,GENERAL
,.,GENERAL
20,The,GENERAL
,technology,GENERAL
,helps,GENERAL
,power,BIAS
,Google,GENERAL
,search,GENERAL
,engine,GENERAL
,.,GENERAL
21,Google,GENERAL
,claims,GENERAL
,that,GENERAL
,the,GENERAL
,paper,GENERAL
,did,GENERAL
,not,GENERAL
,meet,GENERAL
,its,GENERAL
,bar,GENERAL
,for,GENERAL
,publication,GENERAL
,and,GENERAL
,that,GENERAL
,Gebru,GENERAL
,did,GENERAL
,not,GENERAL
,follow,GENERAL
,the,GENERAL
,company,GENERAL
,internal,GENERAL
,review,GENERAL
,protocol,GENERAL
,.,GENERAL
22,Gebru,GENERAL
,and,GENERAL
,her,GENERAL
,supporters,DEI
,counter,GENERAL
,that,GENERAL
,she,GENERAL
,was,GENERAL
,being,GENERAL
,targeted,GENERAL
,because,GENERAL
,of,GENERAL
,how,GENERAL
,outspoken,GENERAL
,she,GENERAL
,was,GENERAL
,about,GENERAL
,diversity,DEI
,issues,GENERAL
,a,GENERAL
,theme,GENERAL
,that,GENERAL
,was,GENERAL
,underscored,GENERAL
,in,GENERAL
,the,GENERAL
,letter,GENERAL
,.,GENERAL
23,Google,GENERAL
,decision,GENERAL
,to,GENERAL
,fire,GENERAL
,and,GENERAL
,retaliate,GENERAL
,against,GENERAL
,a,GENERAL
,core,GENERAL
,member,GENERAL
,of,GENERAL
,the,GENERAL
,Ethical,DEI
,AI,GENERAL
,Team,GENERAL
,makes,GENERAL
,it,GENERAL
,clear,GENERAL
,that,GENERAL
,we,GENERAL
,need,GENERAL
,swift,GENERAL
,and,GENERAL
,structural,GENERAL
,changes,GENERAL
,if,GENERAL
,this,GENERAL
,work,GENERAL
,is,GENERAL
,to,GENERAL
,continue,GENERAL
,and,GENERAL
,if,GENERAL
,the,GENERAL
,legitimacy,GENERAL
,of,GENERAL
,the,GENERAL
,field,GENERAL
,as,GENERAL
,a,GENERAL
,whole,GENERAL
,is,GENERAL
,to,GENERAL
,persevere,GENERAL
,.,GENERAL
24,The,GENERAL
,letter,GENERAL
,says,GENERAL
,Google,GENERAL
,top,GENERAL
,brass,GENERAL
,have,GENERAL
,committed,GENERAL
,to,GENERAL
,advancing,GENERAL
,diversity,DEI
,equity,DEI
,and,GENERAL
,inclusion,DEI
,among,GENERAL
,its,GENERAL
,research,GENERAL
,units,GENERAL
,but,GENERAL
,unless,GENERAL
,more,GENERAL
,concrete,GENERAL
,and,GENERAL
,immediate,GENERAL
,action,GENERAL
,is,GENERAL
,taken,GENERAL
,those,GENERAL
,promises,GENERAL
,are,GENERAL
,virtue,GENERAL
,signaling,GENERAL
,they,GENERAL
,are,GENERAL
,damaging,GENERAL
,evasive,GENERAL
,defensive,GENERAL
,and,GENERAL
,demonstrate,GENERAL
,leadership,GENERAL
,inability,GENERAL
,to,GENERAL
,understand,GENERAL
,how,GENERAL
,our,GENERAL
,organization,GENERAL
,is,GENERAL
,part,GENERAL
,of,GENERAL
,the,GENERAL
,problem,GENERAL
,according,GENERAL
,to,GENERAL
,the,GENERAL
,letter,GENERAL
,.,GENERAL
25,The,GENERAL
,AI,GENERAL
,team,GENERAL
,members,GENERAL
,also,GENERAL
,calls,GENERAL
,for,GENERAL
,Google,GENERAL
,leadership,GENERAL
,to,GENERAL
,go,GENERAL
,through,GENERAL
,racial,BIAS
,literacy,GENERAL
,training,GENERAL
,arguing,GENERAL
,that,GENERAL
,the,GENERAL
,toxicity,BIAS
,toward,GENERAL
,people,GENERAL
,of,GENERAL
,color,BIAS
,on,GENERAL
,Google,GENERAL
,research,GENERAL
,team,GENERAL
,needs,GENERAL
,to,GENERAL
,stop,GENERAL
,.,GENERAL
26,They,GENERAL
,say,GENERAL
,Jeff,GENERAL
,Dean,GENERAL
,senior,GENERAL
,vice,GENERAL
,president,GENERAL
,of,GENERAL
,Google,GENERAL
,Research,GENERAL
,and,GENERAL
,other,GENERAL
,executives,GENERAL
,involved,GENERAL
,in,GENERAL
,Gebru,GENERAL
,firing,GENERAL
,need,GENERAL
,to,GENERAL
,be,GENERAL
,held,GENERAL
,accountable,DEI
,.,GENERAL
27,They,GENERAL
,want,GENERAL
,Dean,GENERAL
,to,GENERAL
,issue,GENERAL
,an,GENERAL
,apology,GENERAL
,to,GENERAL
,Gebru,GENERAL
,.,GENERAL
28,They,GENERAL
,also,GENERAL
,ask,GENERAL
,that,GENERAL
,Google,GENERAL
,management,GENERAL
,stop,GENERAL
,referring,GENERAL
,to,GENERAL
,her,GENERAL
,ouster,GENERAL
,as,GENERAL
,a,GENERAL
,resignation,GENERAL
,saying,GENERAL
,such,GENERAL
,gaslighting,BIAS
,has,GENERAL
,caused,GENERAL
,harm,GENERAL
,to,GENERAL
,Gebru,GENERAL
,and,GENERAL
,the,GENERAL
,Black,DEI
,community,GENERAL
,at,GENERAL
,Google,GENERAL
,.,GENERAL
29,Google,GENERAL
,has,GENERAL
,a,GENERAL
,history,GENERAL
,of,GENERAL
,striking,GENERAL
,back,GENERAL
,against,GENERAL
,employees,GENERAL
,who,GENERAL
,agitate,GENERAL
,internally,GENERAL
,for,GENERAL
,change,GENERAL
,.,GENERAL
30,Organizers,GENERAL
,of,GENERAL
,the,GENERAL
,worldwide,GENERAL
,walkouts,GENERAL
,at,GENERAL
,Google,GENERAL
,in,GENERAL
,over,GENERAL
,sexual,GENERAL
,harassment,BIAS
,and,GENERAL
,other,GENERAL
,issues,GENERAL
,were,GENERAL
,fired,GENERAL
,by,GENERAL
,the,GENERAL
,company,GENERAL
,.,GENERAL
31,And,GENERAL
,more,GENERAL
,recently,GENERAL
,the,GENERAL
,National,GENERAL
,Labor,GENERAL
,Relation,GENERAL
,Board,GENERAL
,accused,GENERAL
,Google,GENERAL
,of,GENERAL
,illegally,GENERAL
,firing,GENERAL
,workers,GENERAL
,who,GENERAL
,were,GENERAL
,involved,GENERAL
,in,GENERAL
,union,GENERAL
,organizing,GENERAL
,.,GENERAL
32,This,GENERAL
,time,GENERAL
,however,GENERAL
,the,GENERAL
,researchers,GENERAL
,are,GENERAL
,pleading,GENERAL
,with,GENERAL
,Google,GENERAL
,not,GENERAL
,to,GENERAL
,demote,GENERAL
,fire,GENERAL
,or,GENERAL
,otherwise,GENERAL
,punish,GENERAL
,anyone,GENERAL
,involved,GENERAL
,in,GENERAL
,supporting,DEI
,Gebru,GENERAL
,.,GENERAL
33,We,GENERAL
,know,GENERAL
,from,GENERAL
,Google,GENERAL
,past,GENERAL
,retaliation,GENERAL
,that,GENERAL
,they,GENERAL
,often,GENERAL
,proceed,GENERAL
,to,GENERAL
,harm,GENERAL
,and,GENERAL
,marginalize,BIAS
,workers,GENERAL
,without,GENERAL
,outright,GENERAL
,firing,GENERAL
,them,GENERAL
,especially,GENERAL
,those,GENERAL
,who,GENERAL
,have,GENERAL
,advocated,DEI
,for,GENERAL
,their,GENERAL
,colleagues,GENERAL
,the,GENERAL
,researchers,GENERAL
,wrote,GENERAL
,to,GENERAL
,Month,GENERAL
,has,GENERAL
,been,GENERAL
,observed,GENERAL
,in,GENERAL
,the,GENERAL
,United,GENERAL
,States,GENERAL
,in,GENERAL
,March,GENERAL
,for,GENERAL
,decades,GENERAL
,its,GENERAL
,date,GENERAL
,unchanging,GENERAL
,.,GENERAL
34,But,GENERAL
,as,GENERAL
,this,GENERAL
,month,GENERAL
,draws,GENERAL
,to,GENERAL
,a,GENERAL
,close,GENERAL
,it,GENERAL
,s,GENERAL
,worth,GENERAL
,noting,GENERAL
,that,GENERAL
,the,GENERAL
,women,DEI
,whose,GENERAL
,stories,GENERAL
,comprise,GENERAL
,that,GENERAL
,history,GENERAL
,have,GENERAL
,changed,GENERAL
,.,GENERAL
35,The,GENERAL
,movement,GENERAL
,to,GENERAL
,expand,GENERAL
,feminism,DEI
,beyond,GENERAL
,the,GENERAL
,provincialism,GENERAL
,of,GENERAL
,mainstream,GENERAL
,discourse,GENERAL
,is,GENERAL
,now,GENERAL
,in,GENERAL
,its,GENERAL
,sixth,GENERAL
,decade,GENERAL
,.,GENERAL
36,One,GENERAL
,place,GENERAL
,where,GENERAL
,that,GENERAL
,change,GENERAL
,is,GENERAL
,clear,GENERAL
,is,GENERAL
,at,GENERAL
,the,GENERAL
,Feminist,GENERAL
,Freedom,GENERAL
,Warriors,GENERAL
,Project,GENERAL
,FFW,GENERAL
,at,GENERAL
,Syracuse,GENERAL
,University,GENERAL
,the,GENERAL
,brainchild,GENERAL
,of,GENERAL
,transnational,GENERAL
,feminist,GENERAL
,scholars,GENERAL
,Linda,GENERAL
,Carty,GENERAL
,and,GENERAL
,Chandra,GENERAL
,Talpade,GENERAL
,Mohanty,GENERAL
,.,GENERAL
37,Their,GENERAL
,survey,GENERAL
,of,GENERAL
,transnational,GENERAL
,feminism,DEI
,was,GENERAL
,the,GENERAL
,foundation,GENERAL
,for,GENERAL
,FFW,GENERAL
,a,GENERAL
,digital,GENERAL
,video,GENERAL
,archive,GENERAL
,focused,GENERAL
,on,GENERAL
,the,GENERAL
,struggles,GENERAL
,of,GENERAL
,women,DEI
,of,GENERAL
,color,BIAS
,of,GENERAL
,the,GENERAL
,Global,GENERAL
,South,GENERAL
,Africa,GENERAL
,India,GENERAL
,and,GENERAL
,Latin,GENERAL
,America,GENERAL
,and,GENERAL
,North,GENERAL
,Canada,GENERAL
,Japan,GENERAL
,.,GENERAL
38,FFW,GENERAL
,is,GENERAL
,a,GENERAL
,project,GENERAL
,about,GENERAL
,histories,GENERAL
,of,GENERAL
,feminist,GENERAL
,activism,GENERAL
,its,GENERAL
,founders,GENERAL
,Carty,GENERAL
,and,GENERAL
,Mohanty,GENERAL
,said,GENERAL
,in,GENERAL
,an,GENERAL
,email,GENERAL
,addressing,GENERAL
,economic,GENERAL
,social,GENERAL
,justice,DEI
,issues,GENERAL
,across,GENERAL
,national,GENERAL
,These,GENERAL
,crisscrossed,GENERAL
,state,GENERAL
,and,GENERAL
,national,GENERAL
,borders,GENERAL
,to,GENERAL
,engage,GENERAL
,in,GENERAL
,kitchen,GENERAL
,table,GENERAL
,conversations,GENERAL
,with,GENERAL
,distinguished,GENERAL
,feminists,GENERAL
,ranging,GENERAL
,from,GENERAL
,Beverly,GENERAL
,to,GENERAL
,Angela,GENERAL
,Davis,GENERAL
,to,GENERAL
,bring,GENERAL
,together,GENERAL
,the,GENERAL
,stories,GENERAL
,of,GENERAL
,these,GENERAL
,whose,GENERAL
,ideas,GENERAL
,words,GENERAL
,actions,GENERAL
,and,GENERAL
,visions,GENERAL
,of,GENERAL
,economic,GENERAL
,and,GENERAL
,social,GENERAL
,justice,DEI
,continue,GENERAL
,to,GENERAL
,inspire,GENERAL
,us,GENERAL
,to,GENERAL
,keep,GENERAL
,on,GENERAL
,keeping,GENERAL
,These,GENERAL
,women,DEI
,are,GENERAL
,representative,GENERAL
,of,GENERAL
,the,GENERAL
,trailblazers,GENERAL
,and,GENERAL
,torchbearers,GENERAL
,who,GENERAL
,challenged,GENERAL
,the,GENERAL
,conventional,GENERAL
,wisdom,GENERAL
,of,GENERAL
,mainstream,GENERAL
,American,GENERAL
,feminism,DEI
,that,GENERAL
,came,GENERAL
,out,GENERAL
,of,GENERAL
,the,GENERAL
,and,GENERAL
,.,GENERAL
39,Left,GENERAL
,to,GENERAL
,right,DEI
,Linda,GENERAL
,Carty,GENERAL
,Angela,GENERAL
,Y,GENERAL
,Davis,GENERAL
,and,GENERAL
,Chandra,GENERAL
,Talpade,GENERAL
,Mohanty,GENERAL
,at,GENERAL
,an,GENERAL
,interview,GENERAL
,conducted,GENERAL
,on,GENERAL
,.,GENERAL
40,Left,GENERAL
,to,GENERAL
,right,DEI
,Linda,GENERAL
,Carty,GENERAL
,Angela,GENERAL
,Y,GENERAL
,Davis,GENERAL
,and,GENERAL
,Chandra,GENERAL
,Talpade,GENERAL
,Mohanty,GENERAL
,at,GENERAL
,an,GENERAL
,interview,GENERAL
,conducted,GENERAL
,on,GENERAL
,.,GENERAL
41,Kim,GENERAL
,Feminist,GENERAL
,Freedom,GENERAL
,Warriors,GENERAL
,project,GENERAL
,Key,GENERAL
,to,GENERAL
,that,GENERAL
,challenge,GENERAL
,was,GENERAL
,the,GENERAL
,idea,GENERAL
,of,GENERAL
,intersectionality,GENERAL
,a,GENERAL
,concept,GENERAL
,that,GENERAL
,remains,GENERAL
,confusing,GENERAL
,to,GENERAL
,some,GENERAL
,despite,GENERAL
,steadily,GENERAL
,growing,GENERAL
,awareness,DEI
,of,GENERAL
,it,GENERAL
,.,GENERAL
42,Mainstream,GENERAL
,century,GENERAL
,American,GENERAL
,feminism,DEI
,led,GENERAL
,by,GENERAL
,people,GENERAL
,like,GENERAL
,Betty,GENERAL
,Friedan,GENERAL
,a,GENERAL
,of,GENERAL
,the,GENERAL
,National,GENERAL
,Organization,GENERAL
,for,GENERAL
,Women,DEI
,NOW,GENERAL
,and,GENERAL
,bestselling,GENERAL
,author,GENERAL
,of,GENERAL
,The,GENERAL
,Feminine,GENERAL
,Mystique,GENERAL
,and,GENERAL
,inspired,GENERAL
,by,GENERAL
,the,GENERAL
,idea,GENERAL
,that,GENERAL
,the,GENERAL
,personal,GENERAL
,is,GENERAL
,political,GENERAL
,made,GENERAL
,people,GENERAL
,across,GENERAL
,the,GENERAL
,country,GENERAL
,rethink,GENERAL
,issues,GENERAL
,like,GENERAL
,gender,DEI
,diversity,DEI
,in,GENERAL
,higher,GENERAL
,education,GENERAL
,and,GENERAL
,reproductive,GENERAL
,rights,DEI
,.,GENERAL
43,But,GENERAL
,that,GENERAL
,feminism,DEI
,was,GENERAL
,also,GENERAL
,in,GENERAL
,dire,GENERAL
,need,GENERAL
,of,GENERAL
,diversity,DEI
,as,GENERAL
,it,GENERAL
,was,GENERAL
,based,GENERAL
,on,GENERAL
,the,GENERAL
,cultural,GENERAL
,and,GENERAL
,historical,GENERAL
,experiences,GENERAL
,of,GENERAL
,and,GENERAL
,heterosexual,GENERAL
,white,GENERAL
,women,DEI
,.,GENERAL
44,Consequently,GENERAL
,issues,GENERAL
,of,GENERAL
,race,DEI
,class,GENERAL
,sexuality,GENERAL
,and,GENERAL
,ableism,GENERAL
,were,GENERAL
,ignored,GENERAL
,.,GENERAL
45,Also,GENERAL
,ignored,GENERAL
,were,GENERAL
,issues,GENERAL
,of,GENERAL
,immigration,GENERAL
,which,GENERAL
,are,GENERAL
,personal,GENERAL
,and,GENERAL
,political,GENERAL
,to,GENERAL
,Carty,GENERAL
,a,GENERAL
,Canadian,GENERAL
,of,GENERAL
,Caribbean,GENERAL
,descent,GENERAL
,and,GENERAL
,Mohanty,GENERAL
,from,GENERAL
,India,GENERAL
,.,GENERAL
46,Get,GENERAL
,your,GENERAL
,history,GENERAL
,fix,GENERAL
,in,GENERAL
,one,GENERAL
,place,GENERAL
,sign,GENERAL
,up,GENERAL
,for,GENERAL
,the,GENERAL
,weekly,GENERAL
,TIME,GENERAL
,History,GENERAL
,newsletter,GENERAL
,So,GENERAL
,during,GENERAL
,the,GENERAL
,black,DEI
,feminist,GENERAL
,a,GENERAL
,number,GENERAL
,of,GENERAL
,whom,GENERAL
,were,GENERAL
,also,GENERAL
,LGBTQ,GENERAL
,developed,GENERAL
,theoretical,GENERAL
,frameworks,GENERAL
,to,GENERAL
,serve,GENERAL
,as,GENERAL
,a,GENERAL
,model,GENERAL
,for,GENERAL
,other,GENERAL
,women,DEI
,of,GENERAL
,color,BIAS
,to,GENERAL
,broaden,GENERAL
,feminism,DEI
,s,GENERAL
,definition,GENERAL
,and,GENERAL
,scope,GENERAL
,.,GENERAL
47,Throughout,GENERAL
,the,GENERAL
,final,GENERAL
,decades,GENERAL
,of,GENERAL
,the,GENERAL
,and,GENERAL
,the,GENERAL
,first,GENERAL
,decade,GENERAL
,of,GENERAL
,the,GENERAL
,centuries,GENERAL
,women,DEI
,of,GENERAL
,color,BIAS
,published,GENERAL
,many,GENERAL
,groundbreaking,GENERAL
,works,GENERAL
,that,GENERAL
,highlighted,GENERAL
,these,GENERAL
,dynamics,GENERAL
,.,GENERAL
48,In,GENERAL
,doing,GENERAL
,so,GENERAL
,they,GENERAL
,exposed,GENERAL
,the,GENERAL
,interlocking,GENERAL
,systems,GENERAL
,that,GENERAL
,define,GENERAL
,women,DEI
,s,GENERAL
,lives,GENERAL
,.,GENERAL
49,The,GENERAL
,theory,GENERAL
,of,GENERAL
,those,GENERAL
,systems,GENERAL
,became,GENERAL
,known,GENERAL
,as,GENERAL
,intersectionality,GENERAL
,a,GENERAL
,term,GENERAL
,popularized,GENERAL
,by,GENERAL
,law,GENERAL
,professor,GENERAL
,Kimberlé,GENERAL
,Crenshaw,GENERAL
,.,GENERAL
50,In,GENERAL
,her,GENERAL
,article,GENERAL
,Mapping,GENERAL
,the,GENERAL
,Margins,BIAS
,she,GENERAL
,explained,GENERAL
,how,GENERAL
,people,GENERAL
,who,GENERAL
,are,GENERAL
,both,GENERAL
,women,DEI
,and,GENERAL
,people,GENERAL
,of,GENERAL
,color,BIAS
,are,GENERAL
