CRIM,RM,TAX,PTRATIO,LSTAT,MEDV
0.76162,5.56,264,13,10.45,22.8
0.7857,7.014,264,13,14.79,30.7
0.57834,8.297,264,13,7.44,50
0.5405,7.47,264,13,3.16,43.5
0.09065,5.92,223,18.6,13.65,20.7
0.29916,5.856,223,18.6,13,21.1
0.16211,6.24,223,18.6,6.59,25.2
0.1146,6.538,223,18.6,7.73,24.4
0.22188,7.691,223,18.6,6.58,35.2
0.05644,6.758,254,17.6,3.53,32.4
0.09604,6.854,254,17.6,2.98,32
0.10469,7.267,254,17.6,6.05,33.2
0.06127,6.826,254,17.6,4.16,33.1
0.07978,6.482,254,17.6,7.19,29.1
0.21038,6.812,216,14.9,4.85,35.1
0.03578,7.82,216,14.9,3.76,45.4
0.03705,6.968,216,14.9,4.59,35.4
0.06129,7.645,216,14.9,3.01,46
0.01501,7.923,198,13.6,3.16,50
0.00906,7.088,285,15.3,7.85,32.2
0.01096,6.453,300,15.3,8.23,22
0.01965,6.23,241,18.2,12.93,20.1
0.03871,6.209,293,16.6,7.14,23.2
0.0459,6.315,293,16.6,7.6,22.3
0.04297,6.565,293,16.6,9.51,24.8
0.03502,6.861,245,19.2,3.33,28.5
0.07886,7.148,245,19.2,3.56,37.3
0.03615,6.63,245,19.2,4.7,27.9
0.08265,6.127,289,16,8.58,23.9
0.08199,6.009,289,16,10.4,21.7
0.12932,6.678,289,16,6.27,28.6
0.05372,6.549,289,16,7.39,27.1
0.14103,5.79,289,16,15.84,20.3
0.06466,6.345,358,14.8,4.97,22.5
0.05561,7.041,358,14.8,4.74,29
0.04417,6.871,358,14.8,6.07,24.8
0.03537,6.59,329,16.1,9.5,22
0.09266,6.495,329,16.1,8.67,26.4
0.1,6.982,329,16.1,4.86,33.1
0.05515,7.236,222,18.4,6.93,36.1
0.05479,6.616,222,18.4,8.93,28.4
0.07503,7.42,222,18.4,6.47,33.4
0.04932,6.849,222,18.4,7.53,28.2
0.49298,6.635,304,18.4,4.54,22.8
0.3494,5.972,304,18.4,9.97,20.3
2.63548,4.973,304,18.4,12.64,16.1
0.79041,6.122,304,18.4,5.98,22.1
0.26169,6.023,304,18.4,11.72,19.4
0.26938,6.266,304,18.4,7.9,21.6
0.3692,6.567,304,18.4,9.28,23.8
0.25356,5.705,304,18.4,11.5,16.2
0.31827,5.914,304,18.4,18.33,17.8
0.24522,5.782,304,18.4,15.94,19.8
0.40202,6.382,304,18.4,10.36,23.1
0.47547,6.113,304,18.4,12.73,21
0.1676,6.426,287,19.6,7.2,23.8
0.18159,6.376,287,19.6,6.87,23.1
0.35114,6.041,287,19.6,7.7,20.4
0.28392,5.708,287,19.6,11.74,18.5
0.34109,6.415,287,19.6,6.12,25
0.19186,6.431,287,19.6,5.08,24.6
0.30347,6.312,287,19.6,6.15,23
0.24103,6.083,287,19.6,12.79,22.2
0.06617,5.868,430,16.9,9.97,19.3
0.06724,6.333,430,16.9,7.34,22.6
0.04544,6.144,430,16.9,9.09,19.8
0.05023,5.706,304,16.9,12.43,17.1
0.03466,6.031,304,16.9,7.83,19.4
0.05083,6.316,224,20.2,5.68,22.2
0.03738,6.31,224,20.2,6.75,20.7
0.03961,6.037,224,20.2,8.01,21.1
0.03427,5.869,224,20.2,9.8,19.5
0.03041,5.895,224,20.2,10.56,18.5
0.03306,6.059,224,20.2,8.51,20.6
0.05497,5.985,224,20.2,9.74,19
0.06151,5.968,224,20.2,9.29,18.7
0.01301,7.241,284,15.5,5.49,32.7
0.02498,6.54,422,15.9,8.65,16.5
0.02543,6.696,370,17.6,7.18,23.9
0.03049,6.874,370,17.6,4.61,31.2
0.03113,6.014,352,18.8,10.53,17.5
0.06162,5.898,352,18.8,12.67,17.2
0.0187,6.516,351,17.9,6.36,23.1
0.01501,6.635,280,17,5.99,24.5
0.02899,6.939,335,19.7,5.89,26.6
0.06211,6.49,335,19.7,5.98,22.9
0.0795,6.579,411,18.3,5.49,24.1
0.07244,5.884,411,18.3,7.79,18.6
0.01709,6.728,187,17,4.5,30.1
0.04301,5.663,334,22,8.05,18.2
0.10659,5.936,334,22,5.57,20.6
8.98296,6.212,666,20.2,17.6,17.8
3.8497,6.395,666,20.2,13.27,21.7
5.20177,6.127,666,20.2,11.48,22.7
4.26131,6.112,666,20.2,12.67,22.6
4.54192,6.398,666,20.2,7.79,25
3.83684,6.251,666,20.2,14.19,19.9
3.67822,5.362,666,20.2,10.19,20.8
4.22239,5.803,666,20.2,14.64,16.8
3.47428,8.78,666,20.2,5.29,21.9
4.55587,3.561,666,20.2,7.12,27.5
3.69695,4.963,666,20.2,14,21.9
13.5222,3.863,666,20.2,13.33,23.1
4.89822,4.97,666,20.2,3.26,50
5.66998,6.683,666,20.2,3.73,50
6.53876,7.016,666,20.2,2.96,50
9.2323,6.216,666,20.2,9.53,50
8.26725,5.875,666,20.2,8.88,50
11.1081,4.906,666,20.2,34.77,13.8
18.4982,4.138,666,20.2,37.97,13.8
19.6091,7.313,666,20.2,13.44,15
15.288,6.649,666,20.2,23.24,13.9
9.82349,6.794,666,20.2,21.24,13.3
23.6482,6.38,666,20.2,23.69,13.1
17.8667,6.223,666,20.2,21.78,10.2
88.9762,6.968,666,20.2,17.21,10.4
15.8744,6.545,666,20.2,21.08,10.9
9.18702,5.536,666,20.2,23.6,11.3
7.99248,5.52,666,20.2,24.56,12.3
20.0849,4.368,666,20.2,30.63,8.8
16.8118,5.277,666,20.2,30.81,7.2
24.3938,4.652,666,20.2,28.28,10.5
22.5971,5,666,20.2,31.99,7.4
14.3337,4.88,666,20.2,30.62,10.2
8.15174,5.39,666,20.2,20.85,11.5
6.96215,5.713,666,20.2,17.11,15.1
5.29305,6.051,666,20.2,18.76,23.2
11.5779,5.036,666,20.2,25.68,9.7
8.64476,6.193,666,20.2,15.17,13.8
13.3598,5.887,666,20.2,16.35,12.7
8.71675,6.471,666,20.2,17.12,13.1
5.87205,6.405,666,20.2,19.37,12.5
7.67202,5.747,666,20.2,19.92,8.5
38.3518,5.453,666,20.2,30.59,5
9.91655,5.852,666,20.2,29.97,6.3
25.0461,5.987,666,20.2,26.77,5.6
14.2362,6.343,666,20.2,20.32,7.2
9.59571,6.404,666,20.2,20.31,12.1
24.8017,5.349,666,20.2,19.77,8.3
41.5292,5.531,666,20.2,27.38,8.5
67.9208,5.683,666,20.2,22.98,5
20.7162,4.138,666,20.2,23.34,11.9
11.9511,5.608,666,20.2,12.13,27.9
7.40389,5.617,666,20.2,26.4,17.2
14.4383,6.852,666,20.2,19.78,27.5
51.1358,5.757,666,20.2,10.11,15
14.0507,6.657,666,20.2,21.22,17.2
18.811,4.628,666,20.2,34.37,17.9
28.6558,5.155,666,20.2,20.08,16.3
45.7461,4.519,666,20.2,36.98,7
18.0846,6.434,666,20.2,29.05,7.2
10.8342,6.782,666,20.2,25.79,7.5
25.9406,5.304,666,20.2,26.64,10.4
73.5341,5.957,666,20.2,20.62,8.8
11.8123,6.824,666,20.2,22.74,8.4
11.0874,6.411,666,20.2,15.02,16.7
7.02259,6.006,666,20.2,15.7,14.2
12.0482,5.648,666,20.2,14.1,20.8
7.05042,6.103,666,20.2,23.29,13.4
8.79212,5.565,666,20.2,17.16,11.7
15.8603,5.896,666,20.2,24.39,8.3
12.2472,5.837,666,20.2,15.69,10.2
37.6619,6.202,666,20.2,14.52,10.9
7.36711,6.193,666,20.2,21.52,11
9.33889,6.38,666,20.2,24.08,9.5
8.49213,6.348,666,20.2,17.64,14.5
10.0623,6.833,666,20.2,19.69,14.1
6.44405,6.425,666,20.2,12.03,16.1
5.58107,6.436,666,20.2,16.22,14.3
13.9134,6.208,666,20.2,15.17,11.7
11.1604,6.629,666,20.2,23.27,13.4
14.4208,6.461,666,20.2,18.05,9.6
15.1772,6.152,666,20.2,26.45,8.7
13.6781,5.935,666,20.2,34.02,8.4
9.39063,5.627,666,20.2,22.88,12.8
22.0511,5.818,666,20.2,22.11,10.5
9.72418,6.406,666,20.2,19.52,17.1
5.66637,6.219,666,20.2,16.59,18.4
9.96654,6.485,666,20.2,18.85,15.4
12.8023,5.854,666,20.2,23.79,10.8
10.6718,6.459,666,20.2,23.98,11.8
6.28807,6.341,666,20.2,17.79,14.9
9.92485,6.251,666,20.2,16.44,12.6
9.32909,6.185,666,20.2,18.13,14.1
7.52601,6.417,666,20.2,19.31,13
6.71772,6.749,666,20.2,17.44,13.4
5.44114,6.655,666,20.2,17.73,15.2
5.09017,6.297,666,20.2,17.27,16.1
8.24809,7.393,666,20.2,16.74,17.8
9.51363,6.728,666,20.2,18.71,14.9
4.75237,6.525,666,20.2,18.13,14.1
4.66883,5.976,666,20.2,19.01,12.7
8.20058,5.936,666,20.2,16.94,13.5
7.75223,6.301,666,20.2,16.23,14.9
6.80117,6.081,666,20.2,14.7,20
4.81213,6.701,666,20.2,16.42,16.4
3.69311,6.376,666,20.2,14.65,17.7
6.65492,6.317,666,20.2,13.99,19.5
5.82115,6.513,666,20.2,10.29,20.2
7.83932,6.209,666,20.2,13.22,21.4
3.1636,5.759,666,20.2,14.13,19.9
3.77498,5.952,666,20.2,17.15,19
4.42228,6.003,666,20.2,21.32,19.1
15.5757,5.926,666,20.2,18.13,19.1
13.0751,5.713,666,20.2,14.76,20.1
4.34879,6.167,666,20.2,16.29,19.9
4.03841,6.229,666,20.2,12.87,19.6
3.56868,6.437,666,20.2,14.36,23.2
4.64689,6.98,666,20.2,11.66,29.8
8.05579,5.427,666,20.2,18.14,13.8
6.39312,6.162,666,20.2,24.1,13.3
4.87141,6.484,666,20.2,18.68,16.7
15.0234,5.304,666,20.2,24.91,12
10.233,6.185,666,20.2,18.03,14.6
14.3337,6.229,666,20.2,13.11,21.4
5.82401,6.242,666,20.2,10.74,23
5.70818,6.75,666,20.2,7.74,23.7
5.73116,7.061,666,20.2,7.01,25
2.81838,5.762,666,20.2,10.42,21.8
2.37857,5.871,666,20.2,13.34,20.6
3.67367,6.312,666,20.2,10.58,21.2
5.69175,6.114,666,20.2,14.98,19.1
4.83567,5.905,666,20.2,11.45,20.6
0.15086,5.454,711,20.1,18.06,15.2
0.18337,5.414,711,20.1,23.97,7
0.20746,5.093,711,20.1,29.68,8.1
0.10574,5.983,711,20.1,18.07,13.6
0.11132,5.983,711,20.1,13.35,20.1
0.17331,5.707,391,19.2,12.01,21.8
0.27957,5.926,391,19.2,13.59,24.5
0.17899,5.67,391,19.2,17.6,23.1
0.2896,5.39,391,19.2,21.14,19.7
0.26838,5.794,391,19.2,14.1,18.3
0.23912,6.019,391,19.2,12.92,21.2
0.17783,5.569,391,19.2,15.1,17.5
0.22438,6.027,391,19.2,14.33,16.8
0.06263,6.593,273,21,9.67,22.4
0.04527,6.12,273,21,9.08,20.6
0.06076,6.976,273,21,5.64,23.9
0.10959,6.794,273,21,6.48,22
0.04741,6.03,273,21,7.88,11.9
